Designator,Mid X,Mid Y,Layer,Rotation
C5,44.000000,-50.000000,Top,90.000000
C6,60.000000,-32.000000,Top,0.000000
C7,56.000000,-47.000000,Top,0.000000
C8,88.000000,-54.000000,Top,0.000000
C9,58.000000,-52.000000,Top,0.000000
D1,71.000000,-61.000000,Top,180.000000
F1,35.000000,-60.000000,Top,0.000000
J1,20.000000,-64.500000,Top,0.000000
J3,94.000000,-42.000000,Top,-90.000000
Q1,42.000000,-60.000000,Top,0.000000
R1,42.000000,-65.000000,Top,0.000000
R2,46.000000,-12.000000,Top,90.000000
R3,63.000000,-42.000000,Top,0.000000
R5,65.000000,-61.000000,Top,0.000000
R6,18.750000,-57.000000,Top,90.000000
R7,21.750000,-57.000000,Top,90.000000
R8,40.658000,-7.596000,Top,0.000000
R9,27.000000,-3.000000,Top,90.000000
R10,21.000000,-3.000000,Top,90.000000
U3,56.000000,-42.000000,Top,0.000000
